GeoType,GeoID,GeoName,county_id,population,affectweather,affectweatherOppose,citizens,citizensOppose,congress,congressOppose,consensus,consensusOppose,corporations,corporationsOppose,devharm,devharmOppose,discuss,discussOppose,drillanwr,drillanwrOppose,drilloffshore,drilloffshoreOppose,exp,expOppose,fundrenewables,fundrenewablesOppose,futuregen,futuregenOppose,generaterenewable,generaterenewableOppose,governor,governorOppose,gwvoteimp,gwvoteimpOppose,happening,happeningOppose,harmplants,harmplantsOppose,harmus,harmusOppose,human,humanOppose,localofficials,localofficialsOppose,mediaweekly,mediaweeklyOppose,personal,personalOppose,president,presidentOppose,priority,prioritycleanenergy,prioritycleanenergyOppose,priorityOppose,rebates,rebatesOppose,reducetax,reducetaxOppose,regulate,regulateOppose,teachgw,teachgwOppose,timing,timingOppose,transitioneconomy,transitioneconomyOppose,worried,worriedOppose
county,25001,"Barnstable County, Massachusetts",1,196899,75.073,5.08,66.472,9.778,68.206,15.887,66.671,18.466,75.324,10.006,73.936,18.692,45.295,54.705,22.601,77.399,45.597,54.403,53.255,46.745,80.582,19.418,77.823,15.791,83.678,16.317,57.232,13.962,58.025,32.596,78.654,8.89,78.708,15.949,70.913,24.458,61.492,28.728,58.573,14.472,36.601,63.399,45.117,47.729,61.79,14.724,56.938,66.481,8.466,16.814,81.741,18.259,73.911,26.09,79.354,20.646,81.847,18.153,65.244,34.756,75.811,24.187,71.626,28.374
county,25003,"Berkshire County, Massachusetts",3,107025,75.465,4.917,65.241,13.325,66.136,19.487,65.81,18.48,72.728,13.354,72.36,20.18,43.736,56.264,25.663,74.337,46.594,53.406,53.332,46.669,82.08,17.92,77.03,16.89,83.483,16.515,57.088,17.104,57.043,33.978,77.148,13.216,75.91,19.302,69.1,26.581,65.508,22.502,56.648,16.882,35.475,64.525,46.324,46.856,61.581,16.848,60.665,68.629,9.602,20.342,80.368,19.632,73.182,26.818,78.914,21.086,81.986,18.014,63.196,36.804,73.735,26.26,70.472,29.528
county,25005,"Bristol County, Massachusetts",5,458550,72.605,5.524,64.266,11.819,67.872,16.614,61.514,20.617,72.911,13.335,71.785,18.181,38.02,61.98,26.856,73.144,49.193,50.807,49.471,50.529,80.308,19.692,77.377,14.886,82.208,17.792,58.403,15.998,62.336,29.525,77.812,11.703,77.045,15.522,69.328,24.336,66.872,24.223,59.548,16.351,31.17,68.83,43.601,47.143,60.139,14.741,61.516,69.785,9.25,15.941,78.429,21.571,71.471,28.528,79.675,20.325,79.576,20.424,66.54,33.46,68.686,31.313,66.09,33.911
county,25007,"Dukes County, Massachusetts",7,17161,74.64,4.937,66.263,11.583,65.881,18.025,67.845,17.843,73.046,12.545,73.849,18.22,43.844,56.157,26.221,73.778,45.04,54.959,54.073,45.927,81.464,18.536,77.736,15.288,81.279,18.721,57.067,16.025,61.042,30.862,77.303,10.698,77.878,16.024,69.077,26.264,65.208,24.302,57.706,15.737,36.522,63.478,45.045,47.895,61.179,15.765,57.882,67.573,9.213,19.651,79.713,20.287,72.119,27.882,78.751,21.249,81.507,18.493,62.808,37.192,72.78,27.216,69.449,30.551
county,25009,"Essex County, Massachusetts",9,637841,71.242,5.227,67.101,12.9,63.206,20.873,62.724,20.056,69.628,15.256,75.587,16.531,39.35,60.65,26.532,73.468,49.358,50.642,47.983,52.017,79.946,20.054,76.24,15.32,78.553,21.445,56.903,18.228,69.235,24.328,74.02,10.306,78.437,13.51,68.469,24.734,61.609,25.959,58.229,16.911,32.897,67.103,47.402,45.634,64.185,18.609,58.272,62.144,10.986,20.367,79.203,20.797,74.344,25.656,77.412,22.588,78.898,21.102,60.331,39.669,71.654,28.344,71.437,28.563
county,25011,"Franklin County, Massachusetts",11,58946,77.184,4.453,68.579,10.455,71.559,15.034,68.022,17.014,75.955,11.11,74.987,17.341,45.038,54.962,23.763,76.237,43.464,56.536,55.477,44.523,83.322,16.679,78.896,14.487,83.991,16.005,61.498,13.424,62.562,29.174,80.64,9.463,80.118,14.256,71.445,23.814,69.131,22.283,60.862,14.133,35.8,64.2,45.347,46.513,66.204,13.996,64.101,72.056,7.765,15.325,82.259,17.742,75.039,24.962,81.727,18.273,83.235,16.764,66.897,33.103,76.217,23.781,73.28,26.72
county,25013,"Hampden County, Massachusetts",13,365305,70.507,4.949,60.669,13.212,61.377,18.804,62.585,19.68,67.858,16.556,65.098,22.474,38.647,61.353,25.574,74.426,48.068,51.933,53.5,46.5,75.43,24.57,73.408,17.07,79.186,20.811,56.295,17.035,59.951,31.063,73.958,11.793,76.252,15.704,65.091,27.856,61.605,28.554,56.105,16.256,29.338,70.662,43.58,46.792,59.042,17.586,54.925,66.986,9.745,19.458,77.726,22.274,69.138,30.863,75.891,24.109,79.819,20.181,59.878,40.122,71.896,28.103,63.263,36.737
county,25015,"Hampshire County, Massachusetts",15,133245,78.357,4.134,68.022,10.451,71.896,13.835,70.366,16.343,78.292,10.534,76.757,15.624,43.214,56.786,22.14,77.86,39.853,60.147,57.056,42.944,84.621,15.379,81.873,11.854,84.299,15.698,60.829,13.261,63.847,28.417,83.939,8.633,81.882,13.361,72.701,23.76,68.577,21.589,62.831,13.381,37.772,62.228,45.802,48.395,64.649,12.845,62.773,73.707,8.257,15.729,83.35,16.65,74.773,25.228,83.088,16.912,84.037,15.963,67.553,32.447,77.697,22.301,71.356,28.644
county,25017,"Middlesex County, Massachusetts",17,1304430,74.831,4.638,68.952,9.675,71.044,14.1,70.914,14.601,76.575,11.515,77.345,14.492,49.907,50.093,24.023,75.977,43.128,56.872,58.645,41.355,87.067,12.933,80.425,12.684,87.334,12.667,61.361,13.126,60.493,31.485,79.049,9.1,80.632,13.28,74.475,19.888,68.182,22.338,58.281,15,38.621,61.379,51.9,40.981,66.153,13.55,62.106,76.245,6.355,15.252,81.67,18.33,73.565,26.436,80.741,19.259,85.721,14.279,67.636,32.364,78.339,21.659,74.697,25.303
county,25019,"Nantucket County, Massachusetts",19,11358,75.514,4.837,66.758,11.368,67.233,17.186,67.749,17.946,73.615,12.042,74.245,17.539,43.619,56.381,26.298,73.702,45.305,54.695,54.696,45.304,81.898,18.101,78.212,14.683,81.736,18.263,58.377,15.819,61.156,30.687,78.216,10.015,78.253,15.629,69.904,25.067,65.601,24.691,58.829,15.355,35.544,64.456,46.01,46.378,62.078,15.277,58.952,68.016,8.914,18.344,81.001,18.999,72.805,27.196,79.548,20.452,82.261,17.739,63.831,36.169,73.751,26.245,70.493,29.507
county,25021,"Norfolk County, Massachusetts",21,574797,76.547,4.229,69.647,11.041,71.41,16.608,71.511,14.626,76.757,12.168,74.542,15.706,45.306,54.695,23.846,76.154,41.767,58.233,57.144,42.856,83.156,16.844,78.407,14.795,83.311,16.691,62.432,16.945,62.39,29.963,79.341,10.221,77.35,15.632,72.055,23.206,67.17,23.492,60.06,16.117,35.249,64.751,49.965,43.941,65.832,14.686,61.312,68.03,8.068,19.213,80.833,19.167,73.144,26.857,80.394,19.606,81.754,18.246,65.537,34.463,73.244,26.753,73.994,26.007
county,25023,"Plymouth County, Massachusetts",23,420470,75.341,4.518,66.96,12.957,69.08,16.148,64.847,19.938,73.649,12.771,72.299,18.303,39.214,60.786,30.129,69.871,44.728,55.272,55.064,44.936,79.986,20.014,76.949,14.489,83.287,16.713,59.001,15.308,62.556,29.591,77.726,11.29,77.683,14.636,69.526,23.289,67.003,23.759,60.46,15.004,34.148,65.852,47.36,44.627,64.207,13.589,58.501,70.636,8.904,16.74,81.375,18.625,70.439,29.562,80.386,19.614,81.121,18.879,66.141,33.859,73.866,26.128,68.709,31.291
